,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,1,2004-01-01,Parking,Alquiler,Lleida,291,2133903,2004-06-19,Carmen
11,12,2004-01-04,Industrial,Venta,Girona,187,999328,2004-04-05,Carmen
13,14,2004-01-04,Local,Venta,Tarragona,68,664700,2004-10-01,Carmen
15,16,2004-01-05,Casa,Alquiler,Girona,179,937960,2004-11-21,Carmen
17,18,2004-01-06,Suelo,Venta,Barcelona,283,1679605,2004-06-06,Carmen
20,21,2004-01-09,Industrial,Venta,Barcelona,228,2020992,2004-06-12,Carmen
29,30,2004-01-12,Local,Alquiler,Tarragona,201,939072,2004-08-04,Carmen
45,46,2004-01-20,Oficina,Alquiler,Lleida,224,1294048,2004-10-29,Carmen
49,50,2004-01-20,Local,Alquiler,Tarragona,235,957625,2004-11-13,Carmen
52,53,2004-01-22,Suelo,Alquiler,Tarragona,158,1438748,2004-10-17,Carmen
54,55,2004-01-22,Local,Venta,Girona,127,983234,2004-07-09,Carmen
56,57,2004-01-23,Oficina,Alquiler,Lleida,54,512730,2004-07-04,Carmen
60,61,2004-01-24,Casa,Venta,Tarragona,120,1140840,2004-09-12,Carmen
70,71,2004-01-28,Casa,Venta,Girona,235,1939925,2004-11-01,Carmen
71,72,2004-01-28,Suelo,Venta,Tarragona,216,1478952,2004-10-15,Carmen
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
79,80,2004-01-31,Parking,Alquiler,Barcelona,217,1339107,2004-10-05,Carmen
83,84,2004-02-02,Piso,Venta,Barcelona,94,470940,2004-07-28,Carmen
97,98,2004-02-07,Casa,Venta,Lleida,227,1467782,2005-02-01,Carmen
114,115,2004-02-14,Industrial,Venta,Tarragona,54,438750,2004-08-15,Carmen
124,125,2004-02-19,Industrial,Venta,Girona,118,1067192,2004-08-25,Carmen
128,129,2004-02-21,Parking,Alquiler,Lleida,206,1363926,2005-01-08,Carmen
130,131,2004-02-21,Local,Venta,Lleida,55,477345,2004-09-04,Carmen
162,163,2004-03-05,Local,Venta,Tarragona,266,1161090,2004-11-23,Carmen
163,164,2004-03-05,Oficina,Alquiler,Girona,287,1395681,2004-09-13,Carmen
